load_demand_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,-100.0,0.1,-99.9,50.0,580.44704,500.0,20.0,15.0,0.0,80.44704000000002,-19.45295999999999,-64.90000273771011
41.8838579870162,-94.768421,0.094768421,-94.673652579,50.0,576.88386,500.0,20.0,15.0,0.0,76.88386000000003,-17.78979257899998,-59.67365056601618
40.51815083048055,-89.542074,0.089542074,-89.452531926,50.0,575.51815,500.0,20.0,15.0,0.0,75.51814999999999,-13.934381926000015,-54.452532756480565
39.157502690870096,-84.320953,0.084320953,-84.236632047,50.0,524.1575,500.0,20.0,15.0,0.0,24.157500000000027,-60.07913204699997,-99.23663473787008
36.82672650270473,-31.605053,0.031605053,-31.573447947000002,50.0,549.40025,500.0,20.0,15.0,0.0,49.40025000000003,17.826802053000026,-18.999924449704704
38.81737317357964,-5.1367157,0.0051367157,-5.1315789843,50.0,573.81737,500.0,20.0,15.0,0.0,73.81736999999998,68.68579101569998,29.868417842120337
43.32653876502621,-0.0,0.0,0.0,45.125,583.20154,500.0,20.0,15.0,0.0,83.20154000000002,83.20154000000002,39.875001234973816
48.73673733998679,-0.0,0.0,0.0,40.24512,593.49162,500.0,20.0,15.0,0.0,93.49162000000001,93.49162000000001,44.75488266001322
54.48357817547155,-5.1367157,0.0051367157,-5.1315789843,50.0,589.48358,500.0,20.0,15.0,0.0,89.48357999999996,84.35200101569995,29.868422840228405
60.65107205230315,-0.0,0.0,0.0,45.125,600.52607,500.0,20.0,15.0,0.0,100.52607,100.52607,39.874997947696855
64.3975569993438,-0.0,0.0,0.0,45.125,604.27256,500.0,20.0,15.0,0.0,104.27256,104.27256,39.87500300065619
67.36660753514445,-0.0,0.0,0.0,30.375451,621.99116,500.0,20.0,15.0,0.0,121.99116000000004,121.99116000000004,54.62455246485558
70.33874718019244,-15.525841,0.015525841,-15.510315159,0.0,655.33875,500.0,20.0,15.0,0.0,155.33875,139.82843484100002,69.48968766080758
69.24487644769277,-63.010316,0.063010316,-62.947305684,50.0,604.24488,500.0,20.0,15.0,0.0,104.24487999999997,41.29757431599997,-27.94730213169281
67.58511503448175,-57.815726,0.057815726,-57.757910274,0.0,652.58512,500.0,20.0,15.0,0.0,152.58511999999996,94.82720972599996,27.24209469151822
67.23528896023228,-105.25791,0.10525791,-105.15265208999999,0.0,652.23529,500.0,20.0,15.0,0.0,152.23528999999996,47.082637909999974,-20.152651050232308
64.66306292115856,-152.65265,0.15265265,-152.49999735,0.0,649.66306,500.0,20.0,15.0,0.0,149.66305999999997,-2.836937350000028,-67.50000027115858
65.40852153237385,-200.0,0.2,-199.8,44.935,605.47352,500.0,20.0,15.0,0.0,105.47352000000001,-94.32648,-159.73500153237387
60.874050146353696,-200.0,0.2,-199.8,50.0,595.87405,500.0,20.0,15.0,0.0,95.87405000000001,-103.92595,-164.80000014635368
56.36172770645106,-194.66842,0.19466842,-194.47375158,50.0,591.36173,500.0,20.0,15.0,0.0,91.36172999999997,-103.11202158000003,-159.4737492864511
56.61221364581371,-189.34217,0.18934217,-189.15282783,50.0,591.61221,500.0,20.0,15.0,0.0,91.61221,-97.54061783,-154.1528314758137
51.765192647494004,-184.02125,0.18402125,-183.83722875,50.0,559.47963,500.0,20.0,15.0,0.0,59.47963000000004,-124.35759874999997,-176.12279139749398
48.06482707650041,-152.78436,0.15278436,-152.63157564,50.0,533.06483,500.0,20.0,15.0,0.0,33.06483000000003,-119.56674563999997,-167.6315727165004
0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
