load_demand_mw,pv_generation_mw,wind_generation_mw,gas_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,freq_reg_up_mw,freq_reg_down_mw,spin_reserve_up_mw,spin_reserve_down_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,0.0,10.337123400806277,30.0,-100.0,0.1,-99.9,0.0,0.0,20.890081,6.0,3.0,0.0,20.0,0.0,15.0,40.33712340080628,-20.890081,-50.452957599193724,-95.90000033690384
41.8838579870162,0.0,15.921680029422449,30.0,-99.9,0.0999,-99.8001,0.0,0.0,30.037822,6.0,3.0,0.0,20.0,0.0,15.0,45.92168002942245,-30.037822,-53.91624197057755,-95.80009995759374
40.51815083048055,0.0,7.015340326305186,30.0,-99.8001,0.0998001,-99.7002999,0.0,12.396485,0.0,6.0,3.0,0.0,20.0,0.0,15.0,37.015340326305186,12.396485,-20.288474573694813,-60.806625404175364
39.157502690870096,0.0,22.913678993802215,30.0,-132.84929,0.13284929,-132.71644071,0.0,0.0,4.2561763,6.0,3.0,0.0,20.0,0.0,15.0,52.913678993802215,-4.2561763,-54.05893801619778,-93.21644070706787
36.82672650270473,0.0,5.010207729711825,30.0,-166.44144,0.16644144,-166.27499856,0.0,11.316519,0.0,6.0,3.0,0.0,20.0,0.0,15.0,35.01020772971182,11.316519,-89.94827183028818,-126.77499833299291
38.81737317357964,0.0,30.0,30.0,-200.0,0.2,-199.8,0.0,0.0,46.972101,6.0,3.0,0.0,20.0,0.0,15.0,60.0,-46.972101,-156.77210100000002,-195.58947417357967
43.32653876502621,2.099573346942651,21.89412577615854,30.0,-200.0,0.2,-199.8,0.0,0.0,36.456634,6.0,3.0,0.0,20.0,0.0,15.0,53.993699123101194,-36.456634,-152.2629348768988,-195.58947364192503
48.73673733998679,7.499999999999999,8.472235757101371,30.0,-200.0,0.2,-199.8,0.0,0.0,23.235498,6.0,3.0,0.0,20.0,0.0,15.0,45.97223575710137,-23.235498,-147.06326224289865,-195.79999958288545
54.48357817547155,15.726379856708617,1.339449215835783,30.0,-199.8,0.1998,-199.6002,0.0,0.0,18.161409,6.0,3.0,0.0,20.0,0.0,15.0,47.0658290725444,-18.161409,-140.6957799274556,-195.17935810292715
60.65107205230315,21.841294945371278,23.399285371684,30.0,-200.0,0.2,-199.8,0.0,0.0,40.589508,6.0,3.0,0.0,20.0,0.0,15.0,75.24058031705528,-40.589508,-135.14892768294473,-195.79999973524787
64.3975569993438,36.83454342038696,19.939384995365387,30.0,-199.8,0.1998,-199.6002,0.0,0.0,48.376371,6.0,3.0,0.0,20.0,0.0,15.0,86.77392841575235,-48.376371,-131.20264258424766,-195.60019958359146
67.36660753514445,33.06141448762315,20.567809374051276,30.0,-199.6002,0.1996002,-199.4005998,35.5,0.0,77.762616,6.0,3.0,0.0,20.0,0.0,15.0,83.62922386167443,-77.762616,-163.53399193832558,-230.90059947347004
70.33874718019244,41.4398861775214,21.862513726424467,30.0,-162.03218,0.16203218,-161.87014782,35.5,0.0,84.463653,6.0,3.0,0.0,20.0,0.0,15.0,93.30239990394587,-84.463653,-123.03140091605412,-193.37014809624657
69.24487644769277,33.441566911571066,4.992502581518613,30.0,-124.50173,0.12450173,-124.37722826999999,0.0,0.0,25.189193,6.0,3.0,0.0,20.0,0.0,15.0,68.43406949308968,-25.189193,-51.13235177691031,-120.37722822460309
67.58511503448175,34.52316277995706,11.992548764247712,30.0,-124.37722,0.12437722,-124.25284278,35.5,0.0,70.430597,6.0,3.0,0.0,20.0,0.0,15.0,76.51571154420478,-70.430597,-88.16772823579522,-155.75284327027697
67.23528896023228,36.787444943476494,6.316694855052101,30.0,-86.884426,0.086884426,-86.79754157400001,35.5,0.0,67.368851,6.0,3.0,0.0,20.0,0.0,15.0,73.10413979852859,-67.368851,-51.06225277547142,-118.2975417357037
64.66306292115856,31.650016384985086,25.382741798656507,30.0,-49.42912,0.04942912,-49.37969088,35.5,0.0,83.869695,6.0,3.0,0.0,20.0,0.0,15.0,87.03275818364159,-83.869695,-16.2166276963584,-80.87969061751696
65.40852153237385,20.635578632677436,17.7854318506695,30.0,-12.01127,0.01201127,-11.99925873,0.0,0.0,29.012489,6.0,3.0,0.0,20.0,0.0,15.0,68.42101048334693,-29.012489,57.40926275334694,-7.999258779026917
60.874050146353696,11.105439647014697,11.41005221747129,30.0,-11.999259,0.011999259,-11.987259741,0.0,0.0,15.58033,6.0,3.0,0.0,20.0,0.0,15.0,52.51549186448599,-15.58033,54.94790212348599,-5.926148022867707
56.36172770645106,4.349448152205356,4.612640601732338,30.0,-13.945315,0.013945315,-13.931369685,0.0,0.0,0.0,6.0,3.0,0.0,20.0,0.0,15.0,38.96208875393769,0.0,55.03071906893769,-1.3310086375133707
56.61221364581371,0.7521478009632573,10.985728265934608,30.0,-22.101713,0.022101713,-22.079611287,0.0,0.0,0.0,6.0,3.0,0.0,20.0,0.0,15.0,41.73787606689787,0.0,49.65826477989787,-6.953948865915841
51.765192647494004,0.0,11.288658249396098,30.0,-32.64899,0.03264899,-32.61634101,0.0,19.976534,0.0,6.0,3.0,0.0,20.0,0.0,15.0,41.2886582493961,19.976534,58.648851239396095,6.8836585919020905
48.06482707650041,0.0,20.585231453697773,30.0,-66.341341,0.066341341,-66.274999659,0.0,6.9795956,0.0,6.0,3.0,0.0,20.0,0.0,15.0,50.58523145369777,6.9795956,21.28982739469777,-26.774999681802637
