load_demand_mw,pv_generation_mw,wind_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,0.0,10.337123400806277,-100.0,0.1,-99.9,50.0,35.109919,0.0,10.337123400806277,35.109919,-54.45295759919373,-99.90000033690384
41.8838579870162,0.0,15.921680029422449,-94.768421,0.094768421,-94.673652579,50.0,25.962178,0.0,15.921680029422449,25.962178,-52.78979454957756,-94.67365253659375
40.51815083048055,0.0,7.015340326305186,-89.542074,0.089542074,-89.452531926,50.0,14.545017,0.0,7.015340326305186,14.545017,-67.89217459969481,-108.41032543017536
39.157502690870096,0.0,22.913678993802215,-66.311049,0.066311049,-66.24473795099999,50.0,0.0,0.0,22.913678993802215,0.0,-43.331058957197776,-82.48856164806787
36.82672650270473,0.0,5.010207729711825,-45.681526,0.045681526,-45.635844473999995,50.0,0.0,0.0,5.010207729711825,0.0,-40.62563674428817,-77.4523632469929
38.81737317357964,0.0,30.0,-10.278573,0.010278573,-10.268294426999999,50.0,8.8173732,0.0,30.0,8.8173732,28.549078772999998,-10.268294400579641
43.32653876502621,2.099573346942651,21.89412577615854,-5.1367157,0.0051367157,-5.1315789843,50.0,19.33284,0.0,23.99369912310119,19.33284,38.19496013880119,-5.131578626225014
48.73673733998679,7.499999999999999,8.472235757101371,-0.0,0.0,0.0,40.24512,42.519381,0.0,15.97223575710137,42.519381,58.49161675710137,9.75487941711458
54.48357817547155,15.726379856708617,1.339449215835783,-5.1367157,0.0051367157,-5.1315789843,50.0,37.417749,0.0,17.0658290725444,37.417749,49.3519990882444,-5.131579087227152
60.65107205230315,21.841294945371278,23.399285371684,-0.0,0.0,0.0,45.125,20.285492,0.0,45.240580317055276,20.285492,65.52607231705528,4.875000264752131
64.3975569993438,36.83454342038696,19.939384995365387,-0.0,0.0,0.0,45.125,12.498629,0.0,56.773928415752344,12.498629,69.27255741575235,4.87500041640854
67.36660753514445,33.06141448762315,20.567809374051276,-0.0,0.0,0.0,30.375451,33.361933,0.0,53.62922386167443,33.361933,86.99115686167443,19.624549326529973
70.33874718019244,41.4398861775214,21.862513726424467,-15.525841,0.015525841,-15.510315159,0.0,57.036347,0.0,63.30239990394587,57.036347,104.82843174494587,34.48968456475343
69.24487644769277,33.441566911571066,4.992502581518613,-63.010316,0.063010316,-62.947305684,50.0,30.810807,0.0,38.43406949308968,30.810807,6.297570809089681,-62.9473056386031
67.58511503448175,34.52316277995706,11.992548764247712,-57.815726,0.057815726,-57.757910274,0.0,71.069403,0.0,46.51571154420478,71.069403,59.827204270204774,-7.757910764276971
67.23528896023228,36.787444943476494,6.316694855052101,-105.25791,0.10525791,-105.15265208999999,0.0,74.131149,0.0,43.10413979852859,74.131149,12.082636708528597,-55.152652251703685
64.66306292115856,31.650016384985086,25.382741798656507,-152.65265,0.15265265,-152.49999735,0.0,57.630305,0.0,57.03275818364159,57.630305,-37.83693416635841,-102.49999708751696
65.40852153237385,20.635578632677436,17.7854318506695,-200.0,0.2,-199.8,50.0,26.987511,0.0,38.42101048334693,26.987511,-134.39147851665305,-199.8000000490269
60.874050146353696,11.105439647014697,11.41005221747129,-194.66842,0.19466842,-194.47375158,50.0,38.358558,0.0,22.515491864485988,38.358558,-133.59970171551402,-194.4737518618677
56.36172770645106,4.349448152205356,4.612640601732338,-189.34217,0.18934217,-189.15282783,50.0,43.629896,0.0,8.962088753937692,43.629896,-136.5608430760623,-192.92257078251336
56.61221364581371,0.7521478009632573,10.985728265934608,-180.44,0.18044,-180.25956,50.0,44.874338,0.0,11.737876066897865,44.874338,-123.64734593310214,-180.25955957891586
51.765192647494004,0.0,11.288658249396098,-175.12798,0.17512798,-174.95285202,50.0,0.0,0.0,11.288658249396098,0.0,-163.6641937706039,-215.42938641809792
48.06482707650041,0.0,20.585231453697773,-131.36856,0.13136856,-131.23719144,50.0,0.0,0.0,20.585231453697773,0.0,-110.65195998630223,-158.71678706280264
0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
