load_demand_mw,pv_generation_mw,wind_generation_mw,gas_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,0.0,10.337123400806277,30.0,-100.0,0.1,-99.9,50.0,0.0,0.0,6.0,3.0,40.33712340080628,0.0,-29.56287659919373,-75.00991933690383
41.8838579870162,0.0,15.921680029422449,30.0,-81.363998,0.081363998,-81.282634002,50.0,0.0,0.0,6.0,3.0,45.92168002942245,0.0,-5.360953972577548,-47.24481195959375
40.51815083048055,0.0,7.015340326305186,30.0,-71.436986,0.071436986,-71.36554901400001,50.0,0.0,0.0,6.0,3.0,37.015340326305186,0.0,-4.350208687694817,-44.86835951817537
39.157502690870096,0.0,22.913678993802215,30.0,-54.3563,0.0543563,-54.301943699999995,50.0,0.0,0.0,6.0,7.7561763,52.913678993802215,0.0,28.611735293802226,-10.54576739706787
36.82672650270473,0.0,5.010207729711825,30.0,-49.170365,0.049170365,-49.121194634999995,50.0,0.0,0.0,6.0,3.0,35.01020772971182,0.0,15.889013094711828,-20.937713407992902
38.81737317357964,0.0,30.0,30.0,-33.713922,0.033713922,-33.680208078,49.817373,0.0,0.0,6.0,15.0,60.0,0.0,56.319791922,17.50241874842036
43.32653876502621,2.099573346942651,21.89412577615854,30.0,-28.740868,0.028740868,-28.712127132,50.0,0.0,0.0,6.0,4.6671604,53.993699123101194,0.0,55.281571991101195,11.955033226074988
48.73673733998679,7.499999999999999,8.472235757101371,30.0,-23.580548,0.023580548,-23.556967452,50.0,23.764502,0.0,6.0,15.0,45.97223575710137,23.764502,76.17977030510139,27.443032965114597
54.48357817547155,15.726379856708617,1.339449215835783,30.0,-18.425389,0.018425389,-18.406963611,50.0,2.44366,0.0,6.0,3.0,47.0658290725444,2.44366,61.10252546154441,6.61894728607286
60.65107205230315,21.841294945371278,23.399285371684,30.0,-0.0,0.0,0.0,45.125,11.285492,0.0,6.0,15.0,75.24058031705528,11.285492,116.52607231705528,55.87500026475213
64.3975569993438,36.83454342038696,19.939384995365387,30.0,-0.0,0.0,0.0,45.125,3.4986286,0.0,6.0,15.0,86.77392841575235,3.4986286,120.27255701575235,55.87500001640855
67.36660753514445,33.06141448762315,20.567809374051276,30.0,-0.0,0.0,0.0,30.375451,24.361933,0.0,6.0,15.0,83.62922386167443,24.361933,137.99115686167443,70.62454932652997
70.33874718019244,41.4398861775214,21.862513726424467,30.0,-15.525841,0.015525841,-15.510315159,0.0,62.036347,0.0,20.0,15.0,93.30239990394587,62.036347,169.82843174494587,99.48968456475343
69.24487644769277,33.441566911571066,4.992502581518613,30.0,-63.010316,0.063010316,-62.947305684,50.0,21.810807,0.0,6.0,15.0,68.43406949308968,21.810807,57.29757080908968,-11.947305638603098
67.58511503448175,34.52316277995706,11.992548764247712,30.0,-57.815726,0.057815726,-57.757910274,0.0,76.069403,0.0,20.0,15.0,76.51571154420478,76.069403,124.82720427020477,57.24208923572303
67.23528896023228,36.787444943476494,6.316694855052101,30.0,-105.25791,0.10525791,-105.15265208999999,0.0,79.131149,0.0,20.0,15.0,73.10413979852859,79.131149,77.0826367085286,9.847347748296315
64.66306292115856,31.650016384985086,25.382741798656507,30.0,-152.65265,0.15265265,-152.49999735,0.0,62.630305,0.0,20.0,15.0,87.03275818364159,62.630305,27.16306583364159,-37.49999708751697
65.40852153237385,20.635578632677436,17.7854318506695,30.0,-200.0,0.2,-199.8,50.0,17.987511,0.0,6.0,15.0,68.42101048334693,17.987511,-83.39147851665308,-148.80000004902695
60.874050146353696,11.105439647014697,11.41005221747129,30.0,-194.66842,0.19466842,-194.47375158,50.0,29.358558,0.0,6.0,15.0,52.51549186448599,29.358558,-82.599701715514,-143.4737518618677
56.36172770645106,4.349448152205356,4.612640601732338,30.0,-189.34217,0.18934217,-189.15282783,50.0,16.584815,0.0,6.0,15.0,38.96208875393769,16.584815,-103.60592407606231,-159.96765178251337
56.61221364581371,0.7521478009632573,10.985728265934608,30.0,-163.29717,0.16329717,-163.13387283,50.0,35.874338,0.0,6.0,15.0,41.73787606689787,35.874338,-55.52165876310213,-112.13387240891583
51.765192647494004,0.0,11.288658249396098,30.0,-158.00229,0.15800229,-157.84428770999997,50.0,0.0,0.0,6.0,15.0,41.2886582493961,0.0,-86.55562946060388,-138.3208221080979
48.06482707650041,0.0,20.585231453697773,30.0,-122.81,0.12281,-122.68719,50.0,0.0,0.0,6.0,15.0,50.58523145369777,0.0,-42.10195854630223,-90.16678562280264
0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
