load_demand_mw,pv_generation_mw,wind_generation_mw,gas_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,freq_reg_up_mw,freq_reg_down_mw,spin_reserve_up_mw,spin_reserve_down_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,0.0,10.337123400806277,30.0,-100.0,0.1,-99.9,35.5,575.10992,500.0,20.0,15.0,20.0,0.0,15.0,0.0,40.33712340080628,75.10991999999999,45.54704340080626,0.10000066309614652
41.8838579870162,0.0,15.921680029422449,30.0,-96.256579,0.096256579,-96.160322421,35.5,565.96218,500.0,20.0,15.0,20.0,0.0,15.0,0.0,45.92168002942245,65.96217999999999,45.72353760842243,3.8396796214062334
40.51815083048055,0.0,7.015340326305186,30.0,-92.516901,0.092516901,-92.42438409900001,35.5,566.53496,500.0,20.0,15.0,20.0,0.0,15.0,0.0,37.015340326305186,66.53495999999996,41.12591622730514,0.6077653968245897
39.157502690870096,0.0,22.913678993802215,30.0,-82.161501,0.082161501,-82.079339499,35.5,520.74382,500.0,20.0,15.0,20.0,0.0,15.0,0.0,52.913678993802215,20.743820000000028,21.57815949480225,-17.579343196067846
36.82672650270473,0.0,5.010207729711825,30.0,-44.710919,0.044710919,-44.66620808099999,35.5,536.31652,500.0,20.0,15.0,20.0,0.0,15.0,0.0,35.01020772971182,36.31651999999997,56.6605196487118,19.833793146007068
38.81737317357964,0.0,30.0,30.0,-7.297787,0.007297787,-7.290489213,35.5,548.81737,500.0,20.0,15.0,20.0,0.0,15.0,0.0,60.0,48.81736999999998,131.52688078699998,92.70950761342034
43.32653876502621,2.099573346942651,21.89412577615854,30.0,-3.6470681,0.0036470681,-3.6434210319,35.5,559.33284,500.0,20.0,15.0,20.0,0.0,15.0,0.0,53.993699123101194,59.33284000000003,139.6831180912012,96.356579326175
48.73673733998679,7.499999999999999,8.472235757101371,30.0,-0.0,-0.0,-0.0,28.574035,579.69047,500.0,20.0,15.0,20.0,0.0,15.0,0.0,45.97223575710137,79.69047,155.66270575710138,106.92596841711459
54.48357817547155,15.726379856708617,1.339449215835783,30.0,-3.6470681,0.0036470681,-3.6434210319,35.5,577.41775,500.0,20.0,15.0,20.0,0.0,15.0,0.0,47.0658290725444,77.41774999999996,150.84015804064435,96.3565798651728
60.65107205230315,21.841294945371278,23.399285371684,30.0,-0.0,-0.0,-0.0,32.03875,558.87174,500.0,20.0,15.0,20.0,0.0,15.0,0.0,75.24058031705528,58.871740000000045,164.11232031705532,103.46124826475217
64.3975569993438,36.83454342038696,19.939384995365387,30.0,-0.0,-0.0,-0.0,32.03875,551.08488,500.0,20.0,15.0,20.0,0.0,15.0,0.0,86.77392841575235,51.08488,167.85880841575235,103.46125141640854
67.36660753514445,33.06141448762315,20.567809374051276,30.0,-0.0,-0.0,-0.0,0.0,589.23738,500.0,20.0,15.0,20.0,0.0,15.0,0.0,83.62922386167443,89.23738000000003,202.86660386167446,135.49999632653
70.33874718019244,41.4398861775214,21.862513726424467,30.0,-33.725,0.033725,-33.691275000000005,0.0,582.53635,500.0,20.0,15.0,20.0,0.0,15.0,0.0,93.30239990394587,82.53634999999997,172.14747490394583,101.80872772375339
69.24487644769277,33.441566911571066,4.992502581518613,30.0,-67.416275,0.067416275,-67.348858725,1.7578273,604.55298,500.0,20.0,15.0,20.0,0.0,15.0,0.0,68.43406949308968,104.55298000000005,135.63819076808971,66.39331432039694
67.58511503448175,34.52316277995706,11.992548764247712,30.0,-99.223514,0.099223514,-99.12429048599999,0.0,596.5694,500.0,20.0,15.0,20.0,0.0,15.0,0.0,76.51571154420478,96.56939999999997,103.96082105820476,36.37570602372301
67.23528896023228,36.787444943476494,6.316694855052101,30.0,-132.84929,0.13284929,-132.71644071,0.0,599.63115,500.0,20.0,15.0,20.0,0.0,15.0,0.0,73.10413979852859,99.63115000000005,70.01884908852864,2.783560128296358
64.66306292115856,31.650016384985086,25.382741798656507,30.0,-166.44144,0.16644144,-166.27499856,0.0,583.1303,500.0,20.0,15.0,20.0,0.0,15.0,0.0,87.03275818364159,83.13030000000003,33.888059623641624,-30.775003297516932
65.40852153237385,20.635578632677436,17.7854318506695,30.0,-200.0,0.2,-199.8,35.5,566.98751,500.0,20.0,15.0,20.0,0.0,15.0,0.0,68.42101048334693,66.98751000000004,-34.391479516653035,-99.80000104902689
60.874050146353696,11.105439647014697,11.41005221747129,30.0,-196.15658,0.19615658,-195.96042341999998,35.5,578.35856,500.0,20.0,15.0,20.0,0.0,15.0,0.0,52.51549186448599,78.35856000000001,-35.08637155551398,-95.96042170186767
56.36172770645106,4.349448152205356,4.612640601732338,30.0,-192.317,0.192317,-192.124683,35.5,577.2843,500.0,20.0,15.0,20.0,0.0,15.0,0.0,38.96208875393769,77.28430000000003,-45.87829424606228,-102.24002195251335
56.61221364581371,0.7521478009632573,10.985728265934608,30.0,-178.87169,0.17887169,-178.69281831,35.5,584.87434,500.0,20.0,15.0,20.0,0.0,15.0,0.0,41.73787606689787,84.87433999999996,-22.080602243102177,-78.69281588891589
51.765192647494004,0.0,11.288658249396098,30.0,-175.0494,0.1750494,-174.87435059999999,35.5,544.97653,500.0,20.0,15.0,20.0,0.0,15.0,0.0,41.2886582493961,44.976530000000025,-58.60916235060387,-110.37435499809787
