load_demand_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,-100.0,0.1,-99.9,50.0,45.447043,0.0,0.0,45.447043,-54.452957000000005,-99.89999973771012
41.8838579870162,-94.768421,0.094768421,-94.673652579,50.0,41.883858,0.0,0.0,41.883858,-52.78979457900001,-94.67365256601622
40.51815083048055,-89.542074,0.089542074,-89.452531926,50.0,40.518151,0.0,0.0,40.518151,-48.934380926,-89.45253175648055
39.157502690870096,-84.320953,0.084320953,-84.236632047,50.0,0.0,0.0,0.0,0.0,-84.236632047,-123.3941347378701
36.82672650270473,-41.905425,0.041905425,-41.863519575,50.0,3.5685947,0.0,0.0,3.5685947,-38.294924875,-75.12165137770472
38.81737317357964,-5.1367157,0.0051367157,-5.1315789843,50.0,38.817373,0.0,0.0,38.817373,33.685794015700004,-5.131579157879635
43.32653876502621,-0.0,0.0,0.0,45.125,48.201539,0.0,0.0,48.201539,48.201539,4.87500023497379
48.73673733998679,-0.0,0.0,0.0,40.24512,58.491617,0.0,0.0,58.491617,58.491617,9.75487966001321
54.48357817547155,-5.1367157,0.0051367157,-5.1315789843,50.0,54.483578,0.0,0.0,54.483578,49.3519990157,-5.131579159771547
60.65107205230315,-0.0,0.0,0.0,45.125,65.526072,0.0,0.0,65.526072,65.526072,4.87499994769685
64.3975569993438,-0.0,0.0,0.0,45.125,69.272557,0.0,0.0,69.272557,69.272557,4.8750000006562
67.36660753514445,-0.0,0.0,0.0,30.375451,86.991157,0.0,0.0,86.991157,86.991157,19.624549464855548
70.33874718019244,-15.525841,0.015525841,-15.510315159,0.0,120.33875,0.0,0.0,120.33875,104.828434841,34.48968766080756
69.24487644769277,-63.010316,0.063010316,-62.947305684,50.0,69.244876,0.0,0.0,69.244876,6.297570316000005,-62.94730613169277
67.58511503448175,-57.815726,0.057815726,-57.757910274,0.0,117.58512,0.0,0.0,117.58512,59.82720972600001,-7.757905308481739
67.23528896023228,-105.25791,0.10525791,-105.15265208999999,0.0,117.23529,0.0,0.0,117.23529,12.082637910000017,-55.152651050232265
64.66306292115856,-152.65265,0.15265265,-152.49999735,0.0,114.66306,0.0,0.0,114.66306,-37.83693735,-102.50000027115856
65.40852153237385,-200.0,0.2,-199.8,44.935,70.473522,0.0,0.0,70.473522,-129.326478,-194.73499953237388
60.874050146353696,-200.0,0.2,-199.8,50.0,60.87405,0.0,0.0,60.87405,-138.92595,-199.80000014635368
56.36172770645106,-194.66842,0.19466842,-194.47375158,50.0,56.361728,0.0,0.0,56.361728,-138.11202358,-194.47375128645106
56.61221364581371,-189.34217,0.18934217,-189.15282783,50.0,56.612214,0.0,0.0,56.612214,-132.54061383,-189.15282747581372
51.765192647494004,-184.02125,0.18402125,-183.83722875,50.0,22.542515,0.0,0.0,22.542515,-161.29471375,-213.059906397494
48.06482707650041,-150.94411,0.15094411,-150.79316588999998,50.0,0.0,0.0,0.0,0.0,-150.79316588999998,-198.85799296650038
0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
