load_demand_mw,pv_generation_mw,wind_generation_mw,gas_generation_mw,battery_charge_mw,battery_discharge_mw,battery_net_mw,battery_soc,grid_purchase_mw,grid_sale_mw,chiller_load_mw,heat_pump_load_mw,total_renewable_mw,grid_net_mw,total_supply_mw,power_balance_mw
45.44704273771011,0.0,10.337123400806277,30.0,-100.0,0.1,-99.9,50.0,540.10992,500.0,20.0,15.0,40.33712340080628,40.10991999999999,10.54704340080626,-34.89999933690385
41.8838579870162,0.0,15.921680029422449,30.0,-94.768421,0.094768421,-94.673652579,50.0,530.96218,500.0,20.0,15.0,45.92168002942245,30.96217999999999,12.21020745042243,-29.67365053659377
40.51815083048055,0.0,7.015340326305186,30.0,-89.542074,0.089542074,-89.452531926,50.0,538.50281,500.0,20.0,15.0,37.015340326305186,38.502809999999954,16.06561840030514,-24.45253243017541
39.157502690870096,0.0,22.913678993802215,30.0,-84.320953,0.084320953,-84.236632047,50.0,471.24382,500.0,20.0,15.0,52.913678993802215,-28.756179999999972,-30.07913305319775,-69.23663574406785
36.82672650270473,0.0,5.010207729711825,30.0,-31.605053,0.031605053,-31.573447947000002,50.0,514.39004,500.0,20.0,15.0,35.01020772971182,14.390039999999999,47.82679978271182,11.000073280007086
38.81737317357964,0.0,30.0,30.0,-5.1367157,0.0051367157,-5.1315789843,50.0,513.81737,500.0,20.0,15.0,60.0,13.817369999999983,98.68579101569998,59.86841784212034
43.32653876502621,2.099573346942651,21.89412577615854,30.0,-0.0,0.0,0.0,45.125,529.20784,500.0,20.0,15.0,53.993699123101194,29.207840000000033,113.20153912310123,69.87500035807503
48.73673733998679,7.499999999999999,8.472235757101371,30.0,-0.0,0.0,0.0,40.24512,547.51938,500.0,20.0,15.0,45.97223575710137,47.519379999999956,123.49161575710133,74.75487841711454
54.48357817547155,15.726379856708617,1.339449215835783,30.0,-5.1367157,0.0051367157,-5.1315789843,50.0,542.41775,500.0,20.0,15.0,47.0658290725444,42.417749999999955,114.35200008824435,59.8684219127728
60.65107205230315,21.841294945371278,23.399285371684,30.0,-0.0,0.0,0.0,45.125,525.28549,500.0,20.0,15.0,75.24058031705528,25.28548999999998,130.52607031705526,69.87499826475211
64.3975569993438,36.83454342038696,19.939384995365387,30.0,-0.0,0.0,0.0,45.125,517.49863,500.0,20.0,15.0,86.77392841575235,17.49863000000005,134.2725584157524,69.8750014164086
67.36660753514445,33.06141448762315,20.567809374051276,30.0,-0.0,0.0,0.0,30.375451,538.36193,500.0,20.0,15.0,83.62922386167443,38.36193000000003,151.99115386167446,84.62454632653001
70.33874718019244,41.4398861775214,21.862513726424467,30.0,-15.525841,0.015525841,-15.510315159,0.0,562.03635,500.0,20.0,15.0,93.30239990394587,62.03634999999997,169.82843474494584,99.4896875647534
69.24487644769277,33.441566911571066,4.992502581518613,30.0,-63.010316,0.063010316,-62.947305684,50.0,535.81081,500.0,20.0,15.0,68.43406949308968,35.81080999999995,71.29757380908963,2.052697361396852
67.58511503448175,34.52316277995706,11.992548764247712,30.0,-57.815726,0.057815726,-57.757910274,0.0,576.0694,500.0,20.0,15.0,76.51571154420478,76.06939999999997,124.82720127020475,57.24208623572301
67.23528896023228,36.787444943476494,6.316694855052101,30.0,-105.25791,0.10525791,-105.15265208999999,0.0,579.13115,500.0,20.0,15.0,73.10413979852859,79.13115000000005,77.08263770852865,9.847348748296369
64.66306292115856,31.650016384985086,25.382741798656507,30.0,-152.65265,0.15265265,-152.49999735,0.0,562.6303,500.0,20.0,15.0,87.03275818364159,62.630300000000034,27.163060833641623,-37.50000208751693
65.40852153237385,20.635578632677436,17.7854318506695,30.0,-200.0,0.2,-199.8,44.935,537.05251,500.0,20.0,15.0,68.42101048334693,37.052509999999984,-64.3264795166531,-129.73500104902695
60.874050146353696,11.105439647014697,11.41005221747129,30.0,-200.0,0.2,-199.8,50.0,543.35856,500.0,20.0,15.0,52.51549186448599,43.35856000000001,-73.925948135514,-134.79999828186772
56.36172770645106,4.349448152205356,4.612640601732338,30.0,-194.66842,0.19466842,-194.47375158,50.0,552.39964,500.0,20.0,15.0,38.96208875393769,52.39963999999998,-73.11202282606233,-129.4737505325134
56.61221364581371,0.7521478009632573,10.985728265934608,30.0,-189.34217,0.18934217,-189.15282783,50.0,549.87434,500.0,20.0,15.0,41.73787606689787,49.87433999999996,-67.54061176310218,-124.15282540891589
51.765192647494004,0.0,11.288658249396098,30.0,-184.02125,0.18402125,-183.83722875,50.0,518.19097,500.0,20.0,15.0,41.2886582493961,18.190969999999993,-94.35760050060392,-146.1227931480979
48.06482707650041,0.0,20.585231453697773,30.0,-152.78436,0.15278436,-152.63157564,50.0,482.4796,500.0,20.0,15.0,50.58523145369777,-17.520399999999995,-89.56674418630222,-137.63157126280262
0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
